Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition
Clear,Highway,Evening,0.0,30.0,5.0,0.0,Dry,Car,65.0,59.0,Daylight
Clear,Highway,Afternoon,2.0,80.0,2.0,0.0,Wet,Car,19.0,19.0,Daylight
Rainy,Highway,Evening,0.0,100.0,2.0,0.0,Icy,Truck,37.0,29.0,Daylight
Rainy,Highway,Afternoon,0.0,60.0,2.0,0.0,Dry,Car,26.0,23.0,Artificial Light
Rainy,City Road,Afternoon,0.0,80.0,4.0,0.0,Dry,Car,22.0,39.0,Artificial Light
Foggy,Rural Road,Morning,0.0,30.0,3.0,0.0,Dry,Car,42.0,42.0,Artificial Light
Clear,Highway,Evening,0.0,80.0,2.0,0.0,Icy,Car,69.0,64.0,Artificial Light
Snowy,Highway,Night,2.0,50.0,4.0,0.0,Dry,Bus,21.0,14.0,Daylight
Clear,Highway,Evening,2.0,60.0,5.0,1.0,Icy,Car,68.0,65.0,Artificial Light
Clear,City Road,Night,2.0,80.0,1.0,0.0,Dry,Car,55.0,46.0,No Light
Clear,City Road,Afternoon,2.0,60.0,4.0,0.0,Wet,Car,41.0,41.0,Artificial Light
Clear,Highway,Evening,0.0,60.0,2.0,1.0,Dry,Truck,39.0,37.0,Artificial Light
Foggy,Mountain Road,Evening,2.0,50.0,2.0,0.0,Icy,Truck,21.0,18.0,No Light
Clear,Mountain Road,Afternoon,0.0,60.0,1.0,0.0,Dry,Bus,65.0,57.0,Artificial Light
Snowy,Mountain Road,Morning,0.0,50.0,4.0,0.0,Icy,Car,55.0,52.0,No Light
Clear,Mountain Road,Afternoon,1.0,100.0,2.0,0.0,Dry,Car,28.0,26.0,Artificial Light
Snowy,Highway,Afternoon,2.0,50.0,5.0,0.0,Under Construction,Motorcycle,30.0,21.0,Artificial Light
Clear,Highway,Night,2.0,60.0,2.0,1.0,Dry,Bus,65.0,57.0,Artificial Light
Rainy,Highway,Afternoon,2.0,80.0,3.0,1.0,Dry,Motorcycle,62.0,60.0,Daylight
Clear,Highway,Afternoon,1.0,50.0,3.0,0.0,Dry,Car,24.0,22.0,Artificial Light
Foggy,City Road,Morning,1.0,30.0,4.0,0.0,Icy,Car,68.0,61.0,Daylight
Clear,City Road,Evening,1.0,80.0,2.0,0.0,Dry,Car,19.0,13.0,Artificial Light
Rainy,City Road,Afternoon,1.0,30.0,5.0,1.0,Icy,Car,54.0,53.0,Artificial Light
Rainy,City Road,Afternoon,1.0,178.0,12.0,0.0,Wet,Car,67.0,59.0,Daylight
Rainy,Highway,Afternoon,0.0,60.0,1.0,0.0,Under Construction,Car,34.0,30.0,Daylight
Clear,City Road,Afternoon,1.0,100.0,5.0,0.0,Icy,Car,34.0,26.0,Artificial Light
Rainy,Highway,Morning,1.0,60.0,5.0,0.0,Under Construction,Car,25.0,39.0,Artificial Light
Rainy,Highway,Evening,2.0,60.0,2.0,1.0,Under Construction,Car,43.0,38.0,Artificial Light
Rainy,City Road,Afternoon,1.0,60.0,2.0,0.0,Dry,Motorcycle,21.0,19.0,Daylight
Snowy,Rural Road,Afternoon,1.0,60.0,1.0,0.0,Dry,Car,43.0,42.0,Artificial Light
Rainy,Highway,Morning,2.0,30.0,2.0,0.0,Icy,Car,52.0,51.0,Daylight
Snowy,Rural Road,Evening,1.0,50.0,5.0,0.0,Wet,Motorcycle,64.0,56.0,No Light
Clear,Rural Road,Afternoon,1.0,60.0,1.0,0.0,Icy,Car,60.0,56.0,Daylight
Clear,City Road,Morning,0.0,80.0,1.0,0.0,Wet,Motorcycle,50.0,42.0,No Light
Rainy,Mountain Road,Afternoon,1.0,60.0,1.0,0.0,Dry,Car,18.0,39.0,No Light
Clear,Rural Road,Morning,2.0,60.0,2.0,0.0,Dry,Car,43.0,10.0,Daylight
Rainy,Rural Road,Morning,1.0,60.0,4.0,0.0,Dry,Car,33.0,30.0,No Light
Foggy,City Road,Afternoon,1.0,80.0,5.0,0.0,Wet,Car,34.0,39.0,Artificial Light
Rainy,Highway,Evening,0.0,60.0,3.0,0.0,Icy,Car,43.0,13.0,Artificial Light
Clear,City Road,Morning,1.0,60.0,3.0,0.0,Wet,Car,32.0,27.0,Daylight
Clear,Highway,Afternoon,1.0,208.0,11.0,0.0,Icy,Motorcycle,52.0,50.0,Artificial Light
Clear,City Road,Afternoon,2.0,50.0,5.0,1.0,Dry,Car,36.0,33.0,Daylight
Clear,City Road,Morning,0.0,80.0,1.0,0.0,Dry,Motorcycle,36.0,36.0,Artificial Light
Clear,Highway,Afternoon,1.0,50.0,5.0,0.0,Dry,Car,27.0,20.0,Artificial Light
Snowy,City Road,Night,0.0,60.0,3.0,0.0,Dry,Car,45.0,43.0,Daylight
Clear,Rural Road,Night,1.0,80.0,4.0,0.0,Wet,Car,68.0,67.0,Daylight
Rainy,Highway,Morning,0.0,60.0,4.0,0.0,Dry,Car,69.0,69.0,No Light
Clear,City Road,Afternoon,0.0,50.0,1.0,0.0,Under Construction,Car,43.0,40.0,Artificial Light
Snowy,City Road,Night,1.0,100.0,3.0,0.0,Dry,Bus,33.0,25.0,Artificial Light
Clear,Highway,Evening,0.0,120.0,5.0,0.0,Under Construction,Truck,53.0,53.0,Artificial Light
Clear,City Road,Morning,2.0,50.0,1.0,0.0,Dry,Car,62.0,53.0,Artificial Light
Clear,Highway,Afternoon,2.0,50.0,1.0,0.0,Under Construction,Truck,60.0,52.0,Artificial Light
Foggy,Highway,Evening,1.0,100.0,3.0,0.0,Wet,Car,25.0,39.0,Artificial Light
Clear,Highway,Afternoon,2.0,60.0,4.0,0.0,Wet,Car,62.0,61.0,Artificial Light
Foggy,City Road,Afternoon,0.0,100.0,4.0,0.0,Dry,Truck,63.0,62.0,Artificial Light
Rainy,City Road,Night,2.0,50.0,2.0,0.0,Under Construction,Motorcycle,30.0,25.0,Daylight
Clear,City Road,Night,1.0,60.0,1.0,0.0,Dry,Car,54.0,54.0,No Light
Snowy,Highway,Afternoon,2.0,50.0,5.0,0.0,Icy,Truck,58.0,55.0,Daylight
Snowy,Highway,Afternoon,1.0,60.0,4.0,0.0,Dry,Truck,48.0,44.0,No Light
Rainy,Rural Road,Afternoon,0.0,80.0,2.0,0.0,Dry,Car,45.0,39.0,Artificial Light
Clear,Rural Road,Evening,2.0,80.0,2.0,0.0,Dry,Car,35.0,31.0,Daylight
Clear,Highway,Evening,2.0,50.0,3.0,0.0,Wet,Car,64.0,55.0,No Light
Stormy,City Road,Evening,2.0,60.0,2.0,1.0,Dry,Truck,65.0,57.0,Daylight
Clear,City Road,Evening,1.0,30.0,4.0,1.0,Dry,Car,42.0,36.0,Artificial Light
Clear,Rural Road,Morning,0.0,60.0,2.0,0.0,Icy,Car,68.0,61.0,No Light
Rainy,Highway,Afternoon,2.0,60.0,1.0,0.0,Dry,Car,46.0,39.0,Artificial Light
Clear,Highway,Morning,1.0,80.0,3.0,0.0,Dry,Car,30.0,27.0,Daylight
Rainy,Highway,Morning,1.0,80.0,1.0,1.0,Wet,Car,47.0,39.0,Daylight
Snowy,Rural Road,Evening,0.0,80.0,1.0,0.0,Dry,Car,58.0,52.0,Daylight
Rainy,Highway,Morning,1.0,30.0,2.0,0.0,Under Construction,Car,44.0,43.0,Daylight
Clear,Highway,Evening,2.0,80.0,1.0,0.0,Dry,Car,48.0,44.0,No Light
Clear,Highway,Afternoon,2.0,60.0,4.0,0.0,Icy,Truck,26.0,26.0,Artificial Light
Clear,Highway,Evening,1.0,100.0,2.0,0.0,Dry,Car,68.0,60.0,Artificial Light
Rainy,City Road,Morning,1.0,100.0,1.0,0.0,Wet,Car,18.0,10.0,Artificial Light
Clear,Rural Road,Night,1.0,50.0,2.0,1.0,Dry,Car,27.0,26.0,Artificial Light
Clear,Mountain Road,Night,2.0,80.0,3.0,0.0,Dry,Motorcycle,23.0,39.0,Artificial Light
Rainy,Highway,Evening,1.0,100.0,3.0,0.0,Dry,Car,41.0,33.0,Artificial Light
Rainy,Highway,Morning,1.0,60.0,1.0,0.0,Dry,Car,32.0,29.0,Daylight
Clear,Highway,Afternoon,1.0,50.0,2.0,0.0,Dry,Car,28.0,19.0,Daylight
Clear,City Road,Afternoon,0.0,213.0,11.0,0.0,Dry,Motorcycle,65.0,56.0,Daylight
Rainy,Rural Road,Evening,2.0,50.0,4.0,0.0,Dry,Car,46.0,42.0,Artificial Light
Clear,Highway,Morning,2.0,60.0,2.0,0.0,Icy,Car,28.0,22.0,Artificial Light
Rainy,Highway,Evening,0.0,60.0,3.0,0.0,Wet,Car,65.0,59.0,Artificial Light
Foggy,Highway,Morning,1.0,80.0,2.0,0.0,Dry,Car,35.0,34.0,Artificial Light
Foggy,Highway,Afternoon,1.0,80.0,3.0,0.0,Dry,Car,43.0,26.0,No Light
Rainy,Highway,Evening,1.0,30.0,1.0,0.0,Dry,Car,25.0,18.0,Daylight
Clear,Highway,Morning,0.0,30.0,3.0,0.0,Dry,Car,21.0,13.0,No Light
Rainy,Highway,Evening,2.0,30.0,2.0,1.0,Wet,Car,69.0,63.0,Daylight
Rainy,Highway,Night,0.0,120.0,3.0,0.0,Dry,Motorcycle,20.0,19.0,Artificial Light
Rainy,Highway,Night,1.0,120.0,5.0,0.0,Under Construction,Car,64.0,58.0,Artificial Light
Clear,Highway,Evening,2.0,80.0,2.0,0.0,Dry,Car,52.0,45.0,Daylight
Clear,Rural Road,Evening,1.0,60.0,5.0,0.0,Dry,Truck,37.0,33.0,Daylight
Clear,Rural Road,Afternoon,1.0,80.0,3.0,0.0,Dry,Motorcycle,56.0,53.0,Daylight
Foggy,Highway,Evening,0.0,60.0,2.0,0.0,Dry,Car,62.0,53.0,Artificial Light
Clear,Highway,Afternoon,0.0,100.0,2.0,0.0,Dry,Car,43.0,22.0,Daylight
Clear,Rural Road,Afternoon,1.0,50.0,1.0,0.0,Dry,Car,29.0,22.0,No Light
Rainy,City Road,Afternoon,2.0,60.0,3.0,0.0,Dry,Car,37.0,30.0,Artificial Light
Rainy,Highway,Afternoon,0.0,80.0,4.0,0.0,Dry,Car,42.0,34.0,Artificial Light
Clear,Highway,Morning,1.0,100.0,5.0,0.0,Wet,Truck,69.0,61.0,Daylight
Clear,City Road,Afternoon,1.0,50.0,4.0,0.0,Dry,Car,49.0,47.0,Daylight
Clear,Highway,Morning,0.0,60.0,4.0,1.0,Wet,Truck,36.0,27.0,Daylight
Rainy,City Road,Evening,2.0,120.0,3.0,0.0,Dry,Car,24.0,39.0,Daylight
Clear,Highway,Morning,2.0,80.0,5.0,0.0,Wet,Car,57.0,54.0,Daylight
Snowy,Highway,Night,0.0,50.0,2.0,1.0,Dry,Car,60.0,54.0,Artificial Light
Clear,Highway,Night,0.0,60.0,5.0,0.0,Dry,Truck,36.0,31.0,Daylight
Clear,Highway,Evening,0.0,60.0,2.0,1.0,Wet,Car,52.0,50.0,Daylight
Clear,City Road,Morning,2.0,30.0,3.0,0.0,Dry,Car,47.0,38.0,Artificial Light
Snowy,Highway,Morning,0.0,30.0,1.0,0.0,Wet,Motorcycle,24.0,15.0,Artificial Light
Clear,Rural Road,Afternoon,2.0,30.0,1.0,0.0,Wet,Truck,53.0,50.0,Daylight
Clear,City Road,Afternoon,2.0,100.0,3.0,0.0,Icy,Car,50.0,43.0,Artificial Light
Clear,City Road,Afternoon,1.0,60.0,1.0,1.0,Icy,Bus,41.0,35.0,Daylight
Clear,Highway,Morning,2.0,60.0,3.0,0.0,Dry,Motorcycle,56.0,51.0,Artificial Light
Clear,Highway,Afternoon,1.0,60.0,5.0,0.0,Dry,Car,50.0,41.0,Artificial Light
Rainy,Highway,Evening,2.0,80.0,2.0,0.0,Dry,Motorcycle,52.0,46.0,Daylight
Clear,City Road,Afternoon,2.0,50.0,2.0,0.0,Icy,Car,34.0,26.0,Artificial Light
Clear,Highway,Morning,0.0,60.0,3.0,0.0,Wet,Car,20.0,17.0,Artificial Light
Clear,Highway,Morning,2.0,100.0,1.0,0.0,Dry,Car,37.0,31.0,Artificial Light
Clear,Highway,Evening,1.0,60.0,3.0,0.0,Dry,Car,28.0,23.0,Artificial Light
Rainy,Highway,Afternoon,1.0,60.0,2.0,0.0,Dry,Car,35.0,27.0,Daylight
Clear,Highway,Evening,2.0,60.0,3.0,0.0,Dry,Truck,48.0,40.0,Daylight
Rainy,Highway,Evening,2.0,60.0,3.0,0.0,Under Construction,Car,46.0,41.0,Artificial Light
Stormy,City Road,Evening,0.0,190.0,14.0,1.0,Dry,Car,69.0,62.0,Artificial Light
Foggy,City Road,Morning,1.0,60.0,4.0,0.0,Wet,Car,51.0,43.0,Daylight
Rainy,Highway,Morning,0.0,60.0,3.0,0.0,Dry,Car,68.0,39.0,Artificial Light
Snowy,Highway,Afternoon,0.0,80.0,5.0,0.0,Wet,Car,45.0,41.0,Artificial Light
Clear,Highway,Afternoon,0.0,60.0,4.0,0.0,Icy,Car,19.0,15.0,Artificial Light
Rainy,City Road,Night,2.0,100.0,3.0,0.0,Under Construction,Car,44.0,37.0,Daylight
Clear,City Road,Morning,0.0,60.0,5.0,0.0,Dry,Car,65.0,63.0,No Light
Rainy,Highway,Evening,1.0,196.0,11.0,0.0,Icy,Car,38.0,32.0,Daylight
Clear,City Road,Afternoon,2.0,60.0,1.0,1.0,Dry,Car,34.0,31.0,Artificial Light
Clear,Highway,Night,0.0,60.0,1.0,0.0,Icy,Car,31.0,22.0,Artificial Light
Rainy,City Road,Evening,1.0,80.0,1.0,0.0,Wet,Car,33.0,33.0,Daylight
Rainy,Highway,Afternoon,1.0,60.0,4.0,0.0,Dry,Car,18.0,11.0,Artificial Light
Clear,Highway,Morning,0.0,100.0,4.0,0.0,Icy,Car,50.0,50.0,Daylight
Stormy,Rural Road,Evening,1.0,80.0,2.0,0.0,Icy,Car,21.0,14.0,Artificial Light
Clear,Rural Road,Afternoon,1.0,50.0,3.0,0.0,Dry,Motorcycle,35.0,34.0,Artificial Light
Clear,Rural Road,Evening,2.0,80.0,3.0,1.0,Wet,Car,18.0,15.0,Artificial Light
Clear,Highway,Morning,1.0,80.0,1.0,0.0,Icy,Car,45.0,36.0,No Light
Rainy,City Road,Morning,1.0,30.0,4.0,1.0,Dry,Car,69.0,62.0,Daylight
Foggy,Highway,Afternoon,0.0,50.0,2.0,0.0,Dry,Car,69.0,63.0,Daylight
Foggy,City Road,Night,1.0,80.0,5.0,0.0,Wet,Motorcycle,43.0,39.0,Artificial Light
Snowy,City Road,Afternoon,1.0,50.0,3.0,0.0,Dry,Car,56.0,54.0,No Light
Foggy,City Road,Night,0.0,188.0,10.0,1.0,Icy,Car,33.0,27.0,Artificial Light
Clear,Highway,Night,2.0,80.0,1.0,0.0,Icy,Car,46.0,41.0,Daylight
Clear,Highway,Evening,2.0,100.0,4.0,0.0,Icy,Truck,52.0,43.0,Daylight
Foggy,Highway,Afternoon,0.0,80.0,4.0,0.0,Icy,Motorcycle,32.0,39.0,Artificial Light
Clear,Highway,Morning,1.0,100.0,4.0,0.0,Dry,Motorcycle,62.0,57.0,Artificial Light
Rainy,City Road,Morning,1.0,50.0,4.0,0.0,Dry,Car,36.0,33.0,Artificial Light
Rainy,Highway,Afternoon,0.0,60.0,2.0,0.0,Dry,Truck,29.0,24.0,Daylight
Rainy,City Road,Evening,1.0,60.0,3.0,0.0,Icy,Car,36.0,32.0,Artificial Light
Rainy,Rural Road,Evening,1.0,50.0,3.0,0.0,Under Construction,Car,67.0,39.0,No Light
Rainy,City Road,Afternoon,2.0,30.0,2.0,0.0,Under Construction,Motorcycle,68.0,66.0,Daylight
Foggy,City Road,Afternoon,2.0,30.0,3.0,0.0,Dry,Car,62.0,59.0,Daylight
Rainy,Highway,Afternoon,2.0,100.0,3.0,0.0,Wet,Car,43.0,38.0,Artificial Light
Clear,Rural Road,Night,2.0,50.0,3.0,0.0,Icy,Car,54.0,48.0,Artificial Light
Clear,Highway,Morning,1.0,60.0,5.0,0.0,Wet,Truck,63.0,60.0,Artificial Light
Stormy,Highway,Evening,1.0,195.0,14.0,0.0,Dry,Car,46.0,38.0,No Light
Rainy,City Road,Afternoon,2.0,100.0,1.0,1.0,Dry,Motorcycle,48.0,46.0,Artificial Light
Clear,Rural Road,Morning,1.0,194.0,3.0,1.0,Under Construction,Truck,31.0,24.0,Artificial Light
Rainy,Mountain Road,Afternoon,1.0,60.0,4.0,0.0,Dry,Car,42.0,41.0,Artificial Light
Rainy,Rural Road,Afternoon,2.0,80.0,3.0,0.0,Dry,Truck,33.0,33.0,Daylight
Foggy,City Road,Evening,1.0,60.0,3.0,0.0,Icy,Car,59.0,51.0,Artificial Light
Clear,City Road,Afternoon,1.0,80.0,1.0,1.0,Dry,Car,37.0,31.0,Artificial Light
Foggy,Highway,Evening,2.0,60.0,1.0,0.0,Dry,Car,43.0,43.0,Daylight
Clear,Highway,Afternoon,2.0,100.0,4.0,0.0,Under Construction,Truck,27.0,26.0,Daylight
Clear,Highway,Morning,0.0,60.0,3.0,0.0,Wet,Car,18.0,10.0,Daylight
Snowy,Mountain Road,Night,0.0,50.0,5.0,0.0,Dry,Car,32.0,31.0,Daylight
Clear,Highway,Afternoon,1.0,80.0,5.0,0.0,Icy,Car,29.0,28.0,Artificial Light
Rainy,Rural Road,Morning,0.0,100.0,4.0,0.0,Dry,Car,41.0,41.0,Artificial Light
Clear,Highway,Evening,2.0,80.0,5.0,0.0,Under Construction,Car,43.0,53.0,Artificial Light
Rainy,City Road,Morning,2.0,80.0,1.0,0.0,Under Construction,Car,46.0,43.0,Artificial Light
Clear,Highway,Afternoon,0.0,50.0,5.0,0.0,Dry,Car,24.0,18.0,Daylight
Snowy,Rural Road,Afternoon,2.0,50.0,2.0,0.0,Wet,Car,44.0,39.0,Artificial Light
Clear,Mountain Road,Afternoon,0.0,50.0,4.0,1.0,Dry,Motorcycle,66.0,59.0,Artificial Light
Foggy,City Road,Morning,1.0,60.0,1.0,0.0,Wet,Car,46.0,41.0,Daylight
Rainy,Highway,Afternoon,0.0,60.0,3.0,0.0,Dry,Car,63.0,61.0,Daylight
Rainy,City Road,Evening,1.0,60.0,2.0,1.0,Wet,Car,59.0,50.0,Daylight
Snowy,Highway,Afternoon,1.0,60.0,5.0,0.0,Dry,Truck,61.0,60.0,Artificial Light
Clear,Highway,Evening,2.0,60.0,1.0,0.0,Wet,Truck,50.0,45.0,Artificial Light
Clear,Rural Road,Afternoon,2.0,80.0,5.0,0.0,Wet,Car,42.0,36.0,Artificial Light
Clear,Highway,Afternoon,1.0,80.0,3.0,0.0,Dry,Car,24.0,24.0,Daylight
Stormy,Highway,Morning,1.0,50.0,2.0,0.0,Dry,Car,23.0,14.0,Daylight
Clear,Highway,Morning,1.0,100.0,5.0,0.0,Icy,Car,21.0,21.0,Artificial Light
Rainy,City Road,Morning,0.0,50.0,3.0,0.0,Icy,Motorcycle,58.0,49.0,Artificial Light
Rainy,Rural Road,Evening,0.0,120.0,5.0,1.0,Wet,Car,38.0,30.0,Artificial Light
Foggy,Highway,Afternoon,1.0,50.0,4.0,1.0,Dry,Car,43.0,41.0,Artificial Light
Foggy,City Road,Afternoon,2.0,50.0,5.0,0.0,Wet,Car,26.0,17.0,Artificial Light
Clear,City Road,Evening,1.0,120.0,4.0,0.0,Dry,Car,38.0,37.0,Artificial Light
Snowy,Highway,Night,1.0,50.0,5.0,0.0,Dry,Car,20.0,39.0,Artificial Light
Clear,Highway,Morning,2.0,100.0,2.0,0.0,Dry,Car,48.0,43.0,Daylight
